ID,User ID,Game Level,Player Score,"Player Score Loss 
(Low Quality)",Player Score Loss (Tardiness),AI Score,"AI Score Loss 
(Low Quality)","AI Score Loss 
(Tardiness)",User Strategy Index,User Strategy Description
8f69d8e2-6b49-4e8d-b507-fd507305f712,00212664-6c71-4e24-b61d-c7776f7a7d99,1,87.78%,12.22%,0.00%,95.28%,4.72%,0.00%,100010,
e21c4992-c14f-4344-96bf-81c883e46dc2,00212664-6c71-4e24-b61d-c7776f7a7d99,1,88.06%,11.94%,1.11%,91.39%,7.78%,0.83%,100010,
58e16a92-dc70-414b-a7d2-51fb17fb0093,35112a97-3b76-43e4-a403-6ce0bf79fb6b,1,73.89%,12.78%,12.22%,96.11%,3.06%,0.83%,100010,
76207e9e-bf8b-46b2-9652-2e177fedb72f,00212664-6c71-4e24-b61d-c7776f7a7d99,1,83.89%,16.11%,0.00%,93.33%,6.67%,0.00%,100010,
09637dcd-4b96-4b97-ad21-fc56fd966523,00212664-6c71-4e24-b61d-c7776f7a7d99,1,86.11%,13.06%,0.83%,91.39%,8.61%,0.00%,100010,
a71a2d56-1295-4d13-b323-6f5e1af3a00c,6afbfe97-9e62-442c-9497-f409661d7750,1,77.78%,14.72%,4.72%,97.22%,2.78%,0.83%,100010,
2b24c945-bdc5-43f4-ae8a-43ca32509320,00212664-6c71-4e24-b61d-c7776f7a7d99,6,54.83%,25.96%,20.45%,54.38%,22.47%,24.04%,100110,
a15ca8f7-87e1-496b-80f1-59493055c6d0,00212664-6c71-4e24-b61d-c7776f7a7d99,1,87.50%,12.50%,0.00%,90.28%,7.78%,1.94%,100010,
cdaff5a2-bc75-40c5-8960-3b3426eecce5,35112a97-3b76-43e4-a403-6ce0bf79fb6b,1,93.89%,6.11%,0.00%,93.89%,5.28%,1.67%,100010,
514bb081-259e-42dc-af8c-8cd5cdb5de2a,35112a97-3b76-43e4-a403-6ce0bf79fb6b,2,76.67%,12.50%,6.39%,88.89%,11.11%,0.00%,100010,
a102a937-9fae-4cb0-ae50-c53ba95863ad,35112a97-3b76-43e4-a403-6ce0bf79fb6b,3,73.48%,11.69%,14.38%,74.38%,12.58%,11.91%,100010,
3aa36d11-b49a-4410-b00f-47b34e50b0f3,35112a97-3b76-43e4-a403-6ce0bf79fb6b,4,57.30%,21.57%,16.63%,71.24%,17.53%,10.11%,100010,
9229efca-c1b3-4e28-b6ab-66541c15dbec,00212664-6c71-4e24-b61d-c7776f7a7d99,1,5.00%,0.00%,21.11%,95.56%,2.78%,2.50%,100100,
34bebf2c-df06-4bf2-94a2-3daf0d7a4fd8,00212664-6c71-4e24-b61d-c7776f7a7d99,1,5.00%,0.00%,21.11%,96.94%,3.06%,0.00%,110000,I assigned all tasks to one worker
bbccc090-56f9-4866-b4a3-6fcfcd243e7d,c6ff9693-fea4-44fa-ac3b-7ba2bd0580af,1,71.67%,22.50%,8.89%,96.39%,3.61%,0.00%,100001,
fbf82a50-1c21-4dbc-8169-27173e75ca9c,fc39ce6b-3cde-40ba-a6d5-01ac904cb872,1,76.39%,13.61%,5.00%,95.00%,5.00%,0.00%,110000,"Differetn workers seem to have differetn capabilities and have different attitude towards tasks, just need to find the balance"
570ad5a9-0b29-4b93-8917-f04e2bb97257,00212664-6c71-4e24-b61d-c7776f7a7d99,1,86.11%,13.89%,0.00%,90.83%,9.17%,3.06%,100010,
3b1c60d0-e6e9-453e-b6fc-cf8eeb1de636,00212664-6c71-4e24-b61d-c7776f7a7d99,1,92.78%,7.22%,0.00%,96.11%,3.06%,0.83%,100010,
61b11981-e566-4674-8fa7-5906930fb106,00212664-6c71-4e24-b61d-c7776f7a7d99,1,97.78%,2.22%,0.00%,96.39%,3.61%,0.00%,100010,
c8f04434-5006-4dfb-9acb-83dfd58e2d98,00212664-6c71-4e24-b61d-c7776f7a7d99,2,81.94%,6.67%,8.89%,89.72%,10.28%,0.00%,100010,
4ce0b3b7-73e1-4a85-a74d-8b8910ad37cf,00212664-6c71-4e24-b61d-c7776f7a7d99,1,17.50%,10.28%,43.06%,94.72%,5.28%,0.00%,100010,
58a798f5-b8cb-4e43-b112-645f7d96db81,00212664-6c71-4e24-b61d-c7776f7a7d99,1,21.39%,2.50%,43.61%,88.89%,10.28%,5.56%,100001,
6449bd06-b693-4012-93d3-48c4215b23bd,00212664-6c71-4e24-b61d-c7776f7a7d99,1,5.00%,0.00%,21.11%,94.72%,5.28%,0.00%,100001,
b653752e-b956-4a5c-827a-f33b47b29f02,00212664-6c71-4e24-b61d-c7776f7a7d99,2,88.06%,10.83%,1.11%,90.00%,8.33%,1.67%,100010,
5de4661e-2bd0-4963-93f5-23e1fa2494cc,00212664-6c71-4e24-b61d-c7776f7a7d99,6,62.13%,18.65%,19.89%,59.66%,19.55%,21.01%,100110,
af58cfd6-666d-43e3-a0ca-17a18bb4bb02,00212664-6c71-4e24-b61d-c7776f7a7d99,6,58.31%,23.60%,18.99%,53.48%,23.03%,26.85%,100110,
57e9a91d-a283-4a39-b5e9-958839d2f237,00212664-6c71-4e24-b61d-c7776f7a7d99,6,46.63%,30.90%,22.58%,53.15%,21.91%,23.37%,100010,
f6ae9eec-3969-4ca7-9ed5-797b897d4e37,00212664-6c71-4e24-b61d-c7776f7a7d99,1,88.89%,8.89%,2.22%,92.78%,7.22%,1.67%,100010,
9f34ac7b-9b9e-4658-89ca-9959344d569b,f984ed87-f7ca-4ea1-85c7-e8657e774440,1,83.33%,16.67%,0.00%,92.78%,7.22%,0.00%,100010,
e79841ba-2015-4e94-928a-0d0b89229a34,f984ed87-f7ca-4ea1-85c7-e8657e774440,1,95.83%,4.17%,0.00%,98.06%,1.94%,0.00%,100100,
863a9ec2-910d-4a03-9472-25069eb43fce,f984ed87-f7ca-4ea1-85c7-e8657e774440,2,95.28%,4.72%,0.00%,87.78%,12.22%,0.00%,100010,
e2f9205f-9cee-491e-b412-ad57d72e76fd,f984ed87-f7ca-4ea1-85c7-e8657e774440,3,88.54%,9.89%,1.35%,85.62%,8.31%,6.07%,101000,
51c3951e-c98c-44f1-884e-c185b1248a84,f984ed87-f7ca-4ea1-85c7-e8657e774440,4,71.69%,20.45%,8.09%,66.29%,17.30%,12.36%,100001,
4fa0d040-8a41-495b-a43d-6ce5a7cf2f26,f984ed87-f7ca-4ea1-85c7-e8657e774440,1,96.39%,3.61%,0.00%,90.28%,9.72%,0.00%,101000,
c74bd1ae-e9f0-4688-a1af-5790218f8588,f984ed87-f7ca-4ea1-85c7-e8657e774440,5,70.34%,11.46%,21.01%,69.55%,8.99%,22.58%,100100,
ae2410b8-1640-4547-99ba-3b6b9fb691b2,f984ed87-f7ca-4ea1-85c7-e8657e774440,6,49.21%,23.03%,30.00%,46.29%,29.21%,25.96%,101000,
003f848a-42ee-4ed3-8f8d-0332924bf26f,f984ed87-f7ca-4ea1-85c7-e8657e774440,2,88.06%,10.28%,0.83%,91.11%,8.89%,0.00%,100100,
01e72c92-5cd5-4d17-9da9-3b8ef88e66bf,f984ed87-f7ca-4ea1-85c7-e8657e774440,2,80.83%,16.67%,1.67%,88.33%,11.67%,0.00%,100001,
16a051bc-ecc8-4c08-9dbe-c18d51932c8c,f984ed87-f7ca-4ea1-85c7-e8657e774440,3,88.31%,2.70%,6.74%,85.39%,7.19%,6.07%,100100,
bb924681-84f7-4c21-bd41-ad57bbb4dd1a,f984ed87-f7ca-4ea1-85c7-e8657e774440,4,76.40%,10.34%,7.42%,70.11%,16.63%,9.44%,100100,
7d59dab6-56c8-4d64-b39f-5e7527a7da86,f984ed87-f7ca-4ea1-85c7-e8657e774440,5,73.93%,7.75%,16.40%,67.53%,9.21%,22.58%,100100,
15064a55-6479-4a7b-b35e-c25d03f51124,f984ed87-f7ca-4ea1-85c7-e8657e774440,6,46.40%,24.72%,31.01%,50.90%,25.73%,25.51%,101000,
ce8c5f71-312e-42c8-81b8-73e7d6d46cb4,f984ed87-f7ca-4ea1-85c7-e8657e774440,2,84.17%,8.61%,5.56%,85.00%,14.17%,0.83%,100010,
3744abd8-312a-4c59-87b4-92a82013d279,f984ed87-f7ca-4ea1-85c7-e8657e774440,6,61.57%,22.58%,17.87%,55.39%,23.60%,22.47%,101000,
83a90085-224d-4e9f-93ec-16cac51e8abc,f984ed87-f7ca-4ea1-85c7-e8657e774440,2,93.06%,6.94%,0.00%,85.83%,12.50%,1.67%,101000,
cfb88758-a797-4482-8866-c91c2e787686,db3c97b6-ba12-4819-8a7c-d5216812ee12,1,73.06%,22.22%,4.72%,92.22%,7.78%,3.06%,100010,
31c61b0b-f5a0-44ca-a351-f22677a7a188,db3c97b6-ba12-4819-8a7c-d5216812ee12,1,76.94%,23.06%,0.00%,93.33%,5.00%,1.67%,100010,
31fc0279-688c-40e4-b636-875818b50474,db3c97b6-ba12-4819-8a7c-d5216812ee12,1,90.56%,9.44%,0.00%,96.94%,3.06%,0.00%,100010,
be7135db-1f03-41eb-a302-c4ae0bd9399f,db3c97b6-ba12-4819-8a7c-d5216812ee12,1,93.33%,6.67%,0.00%,93.33%,6.67%,0.83%,100010,
f111956e-84d2-417c-b52e-96ae20867675,db3c97b6-ba12-4819-8a7c-d5216812ee12,1,96.94%,1.94%,1.11%,93.06%,6.94%,0.83%,100010,
d4f60b3e-6d71-443a-bff9-1dc63a4618b9,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,80.28%,17.78%,0.83%,85.00%,13.33%,2.50%,100010,
f8725d79-384d-4563-80ca-873cc1cbbb7a,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,80.00%,20.00%,0.00%,86.94%,12.22%,0.83%,100010,
f7595598-b686-4287-bcd5-2fccd043e2e5,db3c97b6-ba12-4819-8a7c-d5216812ee12,3,86.52%,8.99%,3.60%,84.94%,4.72%,8.09%,100010,
047be3e5-cdaf-4c27-ae03-2fc9e2759687,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,72.22%,27.78%,0.00%,90.28%,9.72%,0.00%,100010,
558eeccb-911c-4519-8173-871101a2ee43,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,77.78%,22.22%,0.00%,93.33%,4.44%,2.22%,100010,
f7dd7df3-9c1e-474a-bbd3-6ae47c9d8e90,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,82.50%,17.50%,0.00%,89.72%,8.61%,1.67%,100010,
01cf2547-f8fe-4e58-b034-378eed86cb68,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,92.22%,7.78%,0.00%,93.89%,6.11%,0.00%,100010,
88798168-d2e4-4ad0-ad14-9dabbff4172c,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,85.83%,9.17%,3.06%,86.39%,13.61%,0.00%,100010,
98d7a868-a399-4f16-92e1-04eac8cd870a,db3c97b6-ba12-4819-8a7c-d5216812ee12,2,90.28%,9.72%,0.00%,88.06%,11.11%,0.83%,100010,
159dbaae-2ede-4713-91b7-91ea44a452f7,db3c97b6-ba12-4819-8a7c-d5216812ee12,4,67.64%,24.72%,7.42%,67.19%,18.88%,12.13%,100010,
05531d93-e845-4685-8615-1d4ebb393f42,db3c97b6-ba12-4819-8a7c-d5216812ee12,5,73.37%,7.98%,18.20%,71.91%,6.74%,21.35%,100010,
3e5d1203-118b-41c6-84ac-fba840d4dd4d,db3c97b6-ba12-4819-8a7c-d5216812ee12,6,59.89%,24.94%,17.42%,55.84%,23.26%,24.38%,100010,
5c2e1ed3-8968-43f4-b2d6-fcf7cd3e6b57,3a4f0339-72e9-4444-89ca-8520578513e2,1,81.94%,18.06%,0.00%,89.72%,9.44%,1.67%,101000,
a4b17636-a7f2-4b88-909a-ff756e6948c7,3a4f0339-72e9-4444-89ca-8520578513e2,2,82.22%,15.56%,1.11%,85.56%,12.50%,1.94%,101000,
fe8bbc35-41f2-4851-8d4a-e6a4402cbb8f,3a4f0339-72e9-4444-89ca-8520578513e2,3,72.13%,19.33%,6.97%,84.94%,6.97%,7.42%,101000,
d0fe96cc-b5b9-4372-bdac-396d37552e55,3a4f0339-72e9-4444-89ca-8520578513e2,4,42.02%,16.40%,31.24%,64.94%,21.57%,13.48%,101000,
5f7a9824-8a73-4ee5-b7f5-5dbf9f6d6642,3a4f0339-72e9-4444-89ca-8520578513e2,5,55.17%,16.07%,30.22%,69.10%,6.97%,22.25%,101000,
07e23592-8aa9-4cab-aba4-65edc9772dbd,3a4f0339-72e9-4444-89ca-8520578513e2,6,36.63%,30.67%,31.01%,51.12%,22.70%,27.53%,101000,
260fa060-7b23-480b-aae4-35ebbb7e5c36,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,1,79.72%,20.28%,0.00%,91.94%,8.06%,1.94%,100110,
341b3822-d27a-44cc-b71a-b6d5854eaaf9,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,1,85.83%,13.06%,1.11%,91.39%,8.61%,0.83%,100110,
de275749-69c3-464e-9e6f-57134800e618,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,1,81.11%,9.72%,2.22%,93.61%,5.56%,2.50%,101000,
d0120fbd-05b3-420b-af38-911536ddccbc,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,2,81.39%,13.61%,0.83%,93.06%,6.11%,0.83%,101110,
1e3e64bc-a23e-43c8-af69-3a2fe554786a,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,3,85.84%,14.16%,0.00%,86.52%,6.07%,4.27%,101110,
a162d279-4cce-4eaa-b79c-1e5891b2f897,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,4,70.79%,22.02%,4.49%,68.31%,20.90%,8.76%,101110,
01d91617-8edc-4208-a94e-d27d8ddfe7ad,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,5,81.12%,14.94%,3.15%,73.93%,5.96%,18.99%,100110,
9e44e844-2e63-4645-a13c-c38148427a27,7cbe6149-fca4-4bea-ab05-a2f0e0512bcb,6,58.76%,25.39%,17.19%,52.58%,21.91%,25.51%,101110,
8d11c708-b87d-4fd2-af20-6fefd6f34b56,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,1,70.83%,29.17%,0.00%,93.06%,6.94%,0.00%,100100,
9491eded-eacb-439e-8df4-907d26fdb72e,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,1,70.83%,29.17%,0.00%,91.39%,8.61%,0.83%,100010,
057561e6-b946-4aa1-8219-0946e32d1579,591a4d0f-05c9-4f2c-8aec-e90d0533b190,1,78.33%,16.11%,5.56%,92.50%,7.50%,0.00%,101010,
740b7ea1-18a4-451a-91e0-ca5fe3ff94c7,591a4d0f-05c9-4f2c-8aec-e90d0533b190,3,86.07%,13.03%,0.67%,79.10%,10.56%,10.34%,101010,
51c6f76e-9b3c-4074-aee6-83e70f1d8279,591a4d0f-05c9-4f2c-8aec-e90d0533b190,4,69.21%,20.22%,6.07%,70.34%,16.40%,11.24%,101010,assign equal at the begining
927988a6-f6b7-4ae8-b5f2-d4ff80d62576,591a4d0f-05c9-4f2c-8aec-e90d0533b190,5,76.52%,10.67%,12.13%,73.60%,7.08%,17.53%,101010,
bab04f7e-da95-40e7-b089-fbddd8d402e7,591a4d0f-05c9-4f2c-8aec-e90d0533b190,6,54.38%,24.16%,23.37%,56.97%,21.24%,20.56%,101010,
b0faa97b-7a39-4c90-9f83-f0dd9aeb1212,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,2,64.72%,35.28%,0.00%,88.89%,9.17%,1.94%,100010,
40141e3d-9abf-4c11-a50b-0155e8508ce2,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,3,70.56%,29.44%,0.00%,83.82%,7.19%,7.42%,100010,
e1149945-0019-42db-9da1-2d8bdb81956c,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,4,67.19%,30.79%,0.45%,64.27%,20.45%,13.26%,100100,
a4f1a6e8-f9c1-4053-91d0-6a937cd9ddc8,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,5,70.56%,17.75%,12.58%,67.64%,6.85%,23.03%,100001,
f8e572aa-dbd5-4496-8df5-ea8474719179,ad1e1820-5688-49a4-9b96-4b009c08b76f,1,85.00%,14.17%,0.83%,95.83%,4.17%,0.00%,101010,
a3c4a068-944f-4271-8010-a834baf7eb4c,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,1,91.11%,8.89%,0.00%,95.56%,4.44%,0.00%,100100,
f5c66758-2621-4542-ae37-5bac4424cdef,ad1e1820-5688-49a4-9b96-4b009c08b76f,2,75.83%,18.89%,3.33%,88.33%,11.67%,0.00%,111010,Giving lesser task to those with left over tasks
5feb8f2a-b01c-4639-87af-bd5e8be01f60,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,1,95.00%,5.00%,0.00%,96.11%,3.89%,0.00%,110000,assigned by the sucessful rate
3aded536-baf3-434c-9a41-f6a9a2e4a04e,ad1e1820-5688-49a4-9b96-4b009c08b76f,2,79.17%,15.28%,4.72%,83.89%,15.28%,0.83%,101010,
038f26a6-d724-4942-a639-2483abcc0a7b,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,2,89.44%,8.89%,0.83%,92.78%,7.22%,0.00%,110000,-
f0ddd45f-d9a8-44ec-b468-4e8b45579901,ad1e1820-5688-49a4-9b96-4b009c08b76f,1,87.50%,12.50%,0.00%,91.39%,8.61%,0.83%,111010,Tried to give 1 task workers with 3 stars to motivate them.
bf1df47a-115f-4055-9856-8089e1cc7a71,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,2,92.78%,3.33%,1.94%,90.28%,9.72%,0.00%,100010,
fd985cdf-6a49-4fe1-8f5c-c5ef7a8448d1,ad1e1820-5688-49a4-9b96-4b009c08b76f,2,76.39%,23.61%,0.00%,91.39%,6.94%,1.67%,111010,Finding out which worker can handle different task level
39bc34e6-f0fc-42da-a90b-edc813859552,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,2,88.89%,6.39%,3.89%,90.28%,6.94%,2.78%,111000,-
04bdaa9a-bd6c-454e-b39c-194bf6413bb7,ad1e1820-5688-49a4-9b96-4b009c08b76f,1,80.56%,18.33%,1.11%,88.89%,7.50%,3.61%,100010,
3b2d47f4-245f-40ae-a8c2-0366344f049b,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,2,93.89%,6.11%,0.00%,90.83%,9.17%,0.00%,110000,-
a148d30e-c187-42d0-995e-bc44a542efe7,ad1e1820-5688-49a4-9b96-4b009c08b76f,3,83.82%,15.51%,0.67%,86.74%,6.29%,4.27%,111010,"Determining what kind of task level each worker accept from their expressions  1 - No go  2 - very low, very low  3 - No go  4 - Medium & low  5 - Medium & low  6 - High  7 - High  8 - High  9 - Very High & very High, Very low  10 - Very High & very High, Very low"
b251ca70-dda2-48b0-a8f6-aaec2539862f,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,3,89.66%,3.37%,5.39%,92.13%,3.60%,2.92%,111000,-
ff380f2b-4278-462e-943b-cadbe969964f,ad1e1820-5688-49a4-9b96-4b009c08b76f,3,71.91%,13.93%,10.11%,84.27%,6.07%,8.31%,100010,
58c49818-c117-4476-b8dd-223a59747694,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,3,91.24%,4.72%,3.37%,81.57%,8.09%,8.09%,110100,-
73f14ef1-53f1-4de8-be7f-8319d15ec755,ad1e1820-5688-49a4-9b96-4b009c08b76f,4,67.19%,15.73%,9.44%,65.62%,17.30%,13.71%,101110,
8b0178ad-9719-4ecb-b4e5-80865002567f,b71fff8f-259b-4e0b-ab7f-7bcabb2ab30c,4,72.58%,15.28%,11.24%,68.99%,20.90%,8.31%,110000,-
a0ee1ab4-aa35-4049-9eb4-2673b9f92798,2059fd32-1037-4267-b790-253b442b4363,1,66.67%,17.22%,9.44%,94.17%,4.72%,2.22%,100010,
8f53ae16-caa3-4caf-85de-254b747b5af6,ad1e1820-5688-49a4-9b96-4b009c08b76f,5,62.02%,13.82%,21.91%,73.48%,5.73%,19.33%,111010,I assigned very hard tasks to 4 starsish worker while 4-5 star worker handles more high-medium tasks to get more value.
2fe0f2d2-eead-4e23-97a5-ee280bc11af9,ad1e1820-5688-49a4-9b96-4b009c08b76f,6,46.85%,25.62%,24.72%,60.90%,18.54%,20.45%,101010,
281d52d9-3b11-4a2d-863a-7dda31396907,2059fd32-1037-4267-b790-253b442b4363,1,66.94%,16.67%,9.72%,91.67%,8.33%,1.11%,101000,
fbecd7a3-2efd-491a-8ca6-508a01837bea,10617774-ba26-4c1e-8a0f-1f2a3a6dd02a,1,94.17%,0.00%,5.00%,91.67%,8.33%,0.00%,100010,It was great
cc5d4852-ba1c-4bb1-bac5-12baf8e80bbb,10617774-ba26-4c1e-8a0f-1f2a3a6dd02a,2,56.67%,12.22%,23.89%,92.50%,5.56%,1.94%,100100,
9fbb8fcd-b11f-4d55-9f59-7660e3929656,2059fd32-1037-4267-b790-253b442b4363,1,76.39%,10.28%,8.33%,91.39%,8.61%,0.83%,101000,
6177896c-5108-4e14-8ab0-0079e17bd8e4,10617774-ba26-4c1e-8a0f-1f2a3a6dd02a,3,70.79%,13.93%,14.16%,77.08%,8.76%,11.46%,100010,
fe16b29e-9cbb-40c9-8d89-820468559fcf,10617774-ba26-4c1e-8a0f-1f2a3a6dd02a,4,56.18%,19.55%,14.83%,71.91%,13.71%,10.11%,100100,
76eed871-2b08-4412-b80c-9f3620c99e51,10617774-ba26-4c1e-8a0f-1f2a3a6dd02a,5,54.38%,13.37%,29.89%,68.88%,8.20%,22.02%,100100,
479e9701-7fd8-4729-b297-5baf0f489a67,2059fd32-1037-4267-b790-253b442b4363,1,85.00%,11.11%,3.33%,89.17%,10.83%,3.89%,100010,
b330e116-afaf-4212-aca5-ab8177c50cd0,2059fd32-1037-4267-b790-253b442b4363,1,88.06%,9.72%,0.00%,91.39%,8.61%,3.06%,100010,
1573e9e1-ae07-4c2b-a434-4ba894eabcd2,10617774-ba26-4c1e-8a0f-1f2a3a6dd02a,6,32.36%,24.61%,46.07%,54.72%,24.16%,25.06%,100010,
69b0c357-ed14-4f43-9d18-58da11c3f3a8,2059fd32-1037-4267-b790-253b442b4363,1,86.11%,13.89%,0.00%,93.06%,6.94%,0.00%,101000,
3f03aefc-c15d-41b1-9605-534a17338953,2059fd32-1037-4267-b790-253b442b4363,1,83.89%,16.11%,0.00%,91.94%,8.06%,0.00%,100100,
21dbd42d-61e5-41cc-a7a1-0847626e56cb,2059fd32-1037-4267-b790-253b442b4363,1,78.33%,18.33%,2.50%,90.00%,8.33%,2.50%,100100,
4f6d5381-d601-4bba-a397-67a762c847b0,2059fd32-1037-4267-b790-253b442b4363,1,85.83%,14.17%,0.00%,95.00%,5.00%,0.00%,100100,
63ed80ed-864a-4f6d-808c-8e0a3adcfc8b,2059fd32-1037-4267-b790-253b442b4363,1,85.28%,14.72%,0.00%,92.78%,7.22%,1.67%,101000,
d21d0d2d-c87a-4ab2-862f-d385329b9acc,2059fd32-1037-4267-b790-253b442b4363,1,81.39%,17.78%,0.83%,89.72%,9.44%,5.83%,101000,
fd7c54a6-23c3-4798-88e7-9e7e24702ea8,2059fd32-1037-4267-b790-253b442b4363,1,72.78%,17.78%,6.67%,90.28%,8.89%,1.67%,100010,
06abb30e-19ef-4b7b-a7c8-637153d8df46,2059fd32-1037-4267-b790-253b442b4363,2,63.61%,28.61%,3.61%,91.11%,8.89%,0.00%,100010,
acf09792-422d-4cfc-9764-cd76d1c4ce00,2059fd32-1037-4267-b790-253b442b4363,3,75.96%,18.43%,2.70%,86.07%,5.17%,7.42%,100100,
c4a6f5eb-e002-4410-9728-7c460560e009,2059fd32-1037-4267-b790-253b442b4363,4,49.44%,19.33%,16.63%,71.24%,17.53%,10.11%,101000,
20a50029-2698-4874-8eb9-c9371183895e,2059fd32-1037-4267-b790-253b442b4363,5,64.49%,21.80%,11.46%,81.91%,4.72%,10.79%,100010,
dc3a58bd-4c03-4588-af38-68b0267ed08b,10617774-ba26-4c1e-8a0f-1f2a3a6dd02a,6,30.22%,18.88%,35.39%,43.37%,28.88%,28.20%,100100,
4f58c720-c9d7-4e9c-8d19-b6edb5279bae,2059fd32-1037-4267-b790-253b442b4363,5,77.75%,18.99%,3.93%,74.61%,7.42%,17.42%,101111,
badfaf57-fb4a-44ea-851e-718a14bfcb5a,dc9c073c-b273-4484-8b50-dd0c837d39a2,1,84.17%,15.83%,0.00%,94.72%,5.28%,0.00%,100011,
c744ee06-6f84-482a-bc24-c6fe50a75e3c,dc9c073c-b273-4484-8b50-dd0c837d39a2,1,94.44%,5.56%,0.00%,94.17%,4.72%,1.94%,100010,
54391dd5-83b3-498d-9d88-3587e115f843,dc9c073c-b273-4484-8b50-dd0c837d39a2,2,81.11%,16.11%,1.94%,86.94%,11.39%,1.67%,100010,
143ab83c-a76c-4db8-b97d-833bab6eac59,dc9c073c-b273-4484-8b50-dd0c837d39a2,2,94.72%,5.28%,0.00%,88.33%,9.17%,2.50%,100010,
229a0256-badc-4faf-b5f7-6a21c93b6c84,dc9c073c-b273-4484-8b50-dd0c837d39a2,3,73.03%,13.48%,10.79%,81.35%,9.66%,6.97%,100001,
fc7219cf-eca3-4386-b994-757c9f152695,dc9c073c-b273-4484-8b50-dd0c837d39a2,3,88.76%,1.57%,6.97%,83.15%,8.99%,10.79%,100010,
c0ddb118-f18e-4e44-9f2a-6333c484846a,dc9c073c-b273-4484-8b50-dd0c837d39a2,4,66.74%,18.43%,13.48%,68.76%,17.75%,10.79%,100010,
9ce04be1-a2a5-433a-8627-b1338d577918,dc9c073c-b273-4484-8b50-dd0c837d39a2,5,62.36%,11.69%,24.61%,68.76%,8.54%,22.70%,100010,
5b4054ba-a8c5-4d40-81e5-a6b6fb34c569,dc9c073c-b273-4484-8b50-dd0c837d39a2,6,50.67%,26.18%,22.92%,53.60%,23.48%,23.03%,100010,
9440a5bd-3bd3-4874-a8d9-d01e874e9612,436e1efb-e28c-46f3-aeaf-ba314e9a1481,1,68.06%,1.11%,21.94%,95.56%,4.44%,0.83%,100010,
81e4fea8-f99f-4fea-807e-37fcc3f72eb0,436e1efb-e28c-46f3-aeaf-ba314e9a1481,1,85.83%,5.28%,7.78%,92.78%,7.22%,0.83%,100001,
5c127236-fd9d-4b9e-b8dc-c31d49c1c74f,436e1efb-e28c-46f3-aeaf-ba314e9a1481,1,91.67%,2.50%,4.72%,92.78%,7.22%,0.00%,100010,
f74cb7b9-0987-442a-b21f-5afafa068d89,f10ae1d0-e480-452f-9275-0cfc405d8c09,1,91.39%,8.61%,0.00%,91.94%,8.06%,2.22%,100010,
59a08303-ca0f-46ed-b6e9-28cb2f4fff2a,f10ae1d0-e480-452f-9275-0cfc405d8c09,2,75.83%,24.17%,0.00%,85.56%,13.61%,0.83%,100100,
374c5f83-5c59-4090-b689-b1efc47d553c,ad1e1820-5688-49a4-9b96-4b009c08b76f,6,53.93%,20.22%,26.52%,55.73%,20.11%,25.51%,111010,"Determining what kind of task level each worker accept from their expressions    2x very High  8x High  12x Medium  3x Low  2x Very high, Very Low  3x Very low, very low    1 - no go (High & Medium all fail)  2 - Low (High & Medium 2 fail)  3 - Medium & Low (1 fail, possibly high)  4 - Medium & Low (1 fail, possibly high)  5 - High & Medium & Low  6 - High & Medium & Very low, Very low  7 - High & Medium & Very low, Very low  8 - Medium & Very low, Very low (1 unfinished, high)  9 - Very High & "
481c9610-eb1b-418b-9288-b7b809616e87,f10ae1d0-e480-452f-9275-0cfc405d8c09,4,70.79%,27.42%,0.90%,71.01%,15.06%,9.89%,100110,
a14619e3-1a2a-4eb5-9d9f-0132e3793fb2,2523c242-5d5b-41bf-bf3b-b36058a38443,1,76.67%,23.33%,0.00%,92.50%,5.83%,2.50%,100010,
